<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;60;20240902;100000;90.41;90.55;90.15;90.37;5473
USDRUBF;60;20240902;110000;90.35;90.57;90.2;90.22;6098
USDRUBF;60;20240902;120000;90.22;90.28;89.65;89.79;14068
USDRUBF;60;20240902;130000;89.81;89.82;89.5;89.53;4749
USDRUBF;60;20240902;140000;89.53;89.54;89.28;89.44;10323
USDRUBF;60;20240902;150000;89.44;89.63;89.41;89.47;6255
USDRUBF;60;20240902;160000;89.47;89.47;89.09;89.1;12226
USDRUBF;60;20240902;170000;89.11;89.41;88.92;89.29;6092
USDRUBF;60;20240902;180000;89.3;89.44;89.26;89.35;3466
USDRUBF;60;20240902;190000;89.35;89.35;89.16;89.2;883
USDRUBF;60;20240902;200000;89.2;89.2;89.14;89.19;220
USDRUBF;60;20240902;210000;89.16;89.19;89.15;89.17;34
USDRUBF;60;20240902;220000;89.16;89.22;89.13;89.22;513
USDRUBF;60;20240902;230000;89.22;89.25;89.16;89.2;352
USDRUBF;60;20240903;100000;89.3;89.35;88.85;88.85;16386
USDRUBF;60;20240903;110000;88.86;88.99;88.72;88.92;11309
USDRUBF;60;20240903;120000;88.95;88.95;88.62;88.81;10184
USDRUBF;60;20240903;130000;88.8;89.03;88.76;88.84;6709
USDRUBF;60;20240903;140000;88.83;88.83;88.6;88.68;7543
USDRUBF;60;20240903;150000;88.66;88.69;88.49;88.5;9005
USDRUBF;60;20240903;160000;88.5;88.53;88.04;88.13;11111
USDRUBF;60;20240903;170000;88.13;88.41;88.08;88.11;10411
USDRUBF;60;20240903;180000;88.11;88.14;87.83;87.95;11213
USDRUBF;60;20240903;190000;87.88;88.08;87.88;87.94;1604
USDRUBF;60;20240903;200000;87.94;87.96;87.84;87.9;685
USDRUBF;60;20240903;210000;87.89;87.9;87.76;87.78;818
USDRUBF;60;20240903;220000;87.76;87.79;87.67;87.72;643
USDRUBF;60;20240903;230000;87.72;87.79;87.68;87.74;677
USDRUBF;60;20240904;100000;87.88;88.51;87.84;88.41;20182
USDRUBF;60;20240904;110000;88.4;88.47;88.23;88.31;5238
USDRUBF;60;20240904;120000;88.28;88.59;88.26;88.5;6717
USDRUBF;60;20240904;130000;88.5;88.75;88.38;88.61;11392
USDRUBF;60;20240904;140000;88.64;89.17;88.2;88.99;11207
USDRUBF;60;20240904;150000;89;89.18;88.69;88.8;13674
USDRUBF;60;20240904;160000;88.82;88.83;88.46;88.7;6642
USDRUBF;60;20240904;170000;88.72;89.29;88.68;89.01;10440
USDRUBF;60;20240904;180000;89.02;89.26;88.68;88.94;12278
USDRUBF;60;20240904;190000;88.95;88.99;88.79;88.94;1557
USDRUBF;60;20240904;200000;88.92;88.98;88.87;88.89;430
USDRUBF;60;20240904;210000;88.87;88.9;88.81;88.86;381
USDRUBF;60;20240904;220000;88.83;88.92;88.82;88.92;257
USDRUBF;60;20240904;230000;88.92;88.94;88.85;88.86;135
USDRUBF;60;20240905;100000;88.95;89.36;88.45;88.71;9266
USDRUBF;60;20240905;110000;88.71;88.78;88.52;88.74;7630
USDRUBF;60;20240905;120000;88.72;89.03;88.72;88.94;4354
USDRUBF;60;20240905;130000;88.96;89.43;88.94;89.37;8873
USDRUBF;60;20240905;140000;89.36;89.55;89.14;89.21;8972
USDRUBF;60;20240905;150000;89.22;89.33;89.03;89.22;7695
USDRUBF;60;20240905;160000;89.22;89.5;89.22;89.22;2702
USDRUBF;60;20240905;170000;89.21;89.35;89.06;89.23;6203
USDRUBF;60;20240905;180000;89.2;89.2;88.83;89.12;10946
USDRUBF;60;20240905;190000;89.05;89.11;88.94;88.97;1830
USDRUBF;60;20240905;200000;88.96;89.04;88.94;88.95;762
USDRUBF;60;20240905;210000;88.95;88.97;88.93;88.94;421
USDRUBF;60;20240905;220000;88.94;88.97;88.93;88.96;252
USDRUBF;60;20240905;230000;88.98;89.1;88.94;88.98;276
USDRUBF;60;20240906;100000;89.12;89.33;89;89.3;3880
USDRUBF;60;20240906;110000;89.3;89.6;89.26;89.5;4518
USDRUBF;60;20240906;120000;89.55;89.56;89.44;89.54;1930
USDRUBF;60;20240906;130000;89.54;89.61;89.4;89.53;3007
USDRUBF;60;20240906;140000;89.54;89.75;89.21;89.55;6447
USDRUBF;60;20240906;150000;89.58;89.69;89.31;89.52;8223
USDRUBF;60;20240906;160000;89.52;89.8;89.5;89.79;2542
USDRUBF;60;20240906;170000;89.77;89.78;89.62;89.71;3196
USDRUBF;60;20240906;180000;89.71;89.9;89.7;89.9;3485
USDRUBF;60;20240906;190000;89.84;89.89;89.8;89.86;927
USDRUBF;60;20240906;200000;89.87;89.96;89.86;89.92;389
USDRUBF;60;20240906;210000;89.9;89.9;89.8;89.87;924
USDRUBF;60;20240906;220000;89.86;89.87;89.85;89.85;198
USDRUBF;60;20240906;230000;89.87;89.89;89.72;89.75;604
USDRUBF;60;20240909;100000;89.84;90.07;89.75;90.02;3643
USDRUBF;60;20240909;110000;90.02;90.44;90.01;90.26;7551
USDRUBF;60;20240909;120000;90.26;90.43;90.26;90.35;3078
USDRUBF;60;20240909;130000;90.34;90.51;90.27;90.48;4648
USDRUBF;60;20240909;140000;90.49;90.53;90.25;90.37;5001
USDRUBF;60;20240909;150000;90.38;90.46;90.11;90.35;10678
USDRUBF;60;20240909;160000;90.36;90.55;90.31;90.5;3149
USDRUBF;60;20240909;170000;90.49;90.53;90.3;90.44;3582
USDRUBF;60;20240909;180000;90.42;90.47;90.37;90.41;1792
USDRUBF;60;20240909;190000;90.4;90.41;90.32;90.4;376
USDRUBF;60;20240909;200000;90.4;90.41;90.35;90.36;154
USDRUBF;60;20240909;210000;90.37;90.56;90.31;90.42;855
USDRUBF;60;20240909;220000;90.43;90.48;90.42;90.48;294
USDRUBF;60;20240909;230000;90.48;90.48;90.41;90.46;159
USDRUBF;60;20240910;100000;90.47;90.77;90.47;90.75;5286
USDRUBF;60;20240910;110000;90.76;90.8;90.64;90.73;1527
USDRUBF;60;20240910;120000;90.73;90.89;90.6;90.65;3130
USDRUBF;60;20240910;130000;90.68;90.81;90.58;90.64;2937
USDRUBF;60;20240910;140000;90.62;90.88;90.62;90.69;2340
USDRUBF;60;20240910;150000;90.69;90.72;90.61;90.68;1300
USDRUBF;60;20240910;160000;90.68;90.72;90.32;90.35;4860
USDRUBF;60;20240910;170000;90.34;90.68;90.22;90.58;7122
USDRUBF;60;20240910;180000;90.59;90.75;90.57;90.71;1823
USDRUBF;60;20240910;190000;90.48;90.66;90.48;90.66;1287
USDRUBF;60;20240910;200000;90.67;90.67;90.58;90.65;465
USDRUBF;60;20240910;210000;90.65;90.66;90.63;90.66;149
USDRUBF;60;20240910;220000;90.66;90.68;90.65;90.68;150
USDRUBF;60;20240910;230000;90.68;90.68;90.67;90.68;166
USDRUBF;60;20240911;100000;90.69;90.9;90.65;90.7;5700
USDRUBF;60;20240911;110000;90.7;90.8;90.28;90.32;16597
USDRUBF;60;20240911;120000;90.3;90.43;90.22;90.4;3690
USDRUBF;60;20240911;130000;90.4;90.43;90.27;90.42;2145
USDRUBF;60;20240911;140000;90.34;90.4;90.08;90.3;8694
USDRUBF;60;20240911;150000;90.3;90.35;90.09;90.1;5875
USDRUBF;60;20240911;160000;90.12;90.21;89.94;90.2;2862
USDRUBF;60;20240911;170000;90.2;90.42;90.2;90.4;2475
USDRUBF;60;20240911;180000;90.4;90.54;90.33;90.54;2424
USDRUBF;60;20240911;190000;90.51;90.51;90.29;90.3;1306
USDRUBF;60;20240911;200000;90.3;90.35;90.28;90.3;327
USDRUBF;60;20240911;210000;90.29;90.43;90.28;90.37;308
USDRUBF;60;20240911;220000;90.36;90.38;90.3;90.35;315
USDRUBF;60;20240911;230000;90.34;90.37;90.3;90.37;90
USDRUBF;60;20240912;100000;90.38;90.85;90.34;90.76;3878
USDRUBF;60;20240912;110000;90.78;90.9;90.67;90.8;8309
USDRUBF;60;20240912;120000;90.81;90.93;90.73;90.82;1180
USDRUBF;60;20240912;130000;90.84;90.85;90.64;90.77;2770
USDRUBF;60;20240912;140000;90.79;90.81;90.63;90.81;2471
USDRUBF;60;20240912;150000;90.8;90.82;90.61;90.66;2095
USDRUBF;60;20240912;160000;90.68;90.75;90.61;90.72;1474
USDRUBF;60;20240912;170000;90.74;90.85;90.72;90.8;5411
USDRUBF;60;20240912;180000;90.84;90.96;90.8;90.92;2145
USDRUBF;60;20240912;190000;90.82;90.88;90.78;90.79;1186
USDRUBF;60;20240912;200000;90.79;90.83;90.67;90.69;1114
USDRUBF;60;20240912;210000;90.68;90.7;90.67;90.67;696
USDRUBF;60;20240912;220000;90.69;90.72;90.67;90.71;279
USDRUBF;60;20240912;230000;90.72;90.74;90.68;90.71;419
USDRUBF;60;20240913;100000;90.8;90.81;90.31;90.37;12097
USDRUBF;60;20240913;110000;90.38;90.42;90.19;90.31;14027
USDRUBF;60;20240913;120000;90.32;90.37;90.25;90.35;1314
USDRUBF;60;20240913;130000;90.35;90.55;90.24;90.45;4530
USDRUBF;60;20240913;140000;90.44;90.6;90.43;90.58;2108
USDRUBF;60;20240913;150000;90.58;90.78;90.5;90.72;2803
USDRUBF;60;20240913;160000;90.76;90.88;90.63;90.76;6415
USDRUBF;60;20240913;170000;90.77;91.03;90.77;90.93;6437
USDRUBF;60;20240913;180000;90.9;91.04;90.86;90.99;3554
USDRUBF;60;20240913;190000;90.98;91.15;90.88;90.93;2163
USDRUBF;60;20240913;200000;90.92;90.96;90.9;90.91;383
USDRUBF;60;20240913;210000;90.91;90.91;90.87;90.88;207
USDRUBF;60;20240913;220000;90.87;90.88;90.83;90.84;458
USDRUBF;60;20240913;230000;90.84;90.89;90.82;90.89;357
USDRUBF;60;20240916;100000;90.98;91.27;90.79;91.22;8641
USDRUBF;60;20240916;110000;91.23;91.29;91.13;91.17;7531
USDRUBF;60;20240916;120000;91.18;91.28;91.1;91.26;2172
USDRUBF;60;20240916;130000;91.27;91.35;91.25;91.29;6423
USDRUBF;60;20240916;140000;91.28;91.35;91.12;91.17;6498
USDRUBF;60;20240916;150000;91.18;91.25;91.12;91.25;3002
USDRUBF;60;20240916;160000;91.25;91.43;91.23;91.41;4313
USDRUBF;60;20240916;170000;91.42;91.6;91.29;91.31;10543
USDRUBF;60;20240916;180000;91.3;91.35;91.25;91.34;2063
USDRUBF;60;20240916;190000;91.31;91.49;91.25;91.44;1334
USDRUBF;60;20240916;200000;91.43;91.48;91.43;91.46;431
USDRUBF;60;20240916;210000;91.46;91.54;91.45;91.54;515
USDRUBF;60;20240916;220000;91.5;91.52;91.25;91.27;1269
USDRUBF;60;20240916;230000;91.28;91.38;91.28;91.3;249
USDRUBF;60;20240917;100000;91.36;91.53;91.12;91.17;6206
USDRUBF;60;20240917;110000;91.16;91.35;91.01;91.08;14474
USDRUBF;60;20240917;120000;91.09;91.43;91.07;91.34;8851
USDRUBF;60;20240917;130000;91.36;91.36;90.92;91.13;13390
USDRUBF;60;20240917;140000;91.13;91.22;90.79;91.2;25135
USDRUBF;60;20240917;150000;91.2;91.33;90.96;91.04;9600
USDRUBF;60;20240917;160000;91.04;91.37;91.03;91.23;7743
USDRUBF;60;20240917;170000;91.24;91.48;91.13;91.44;6606
USDRUBF;60;20240917;180000;91.43;91.55;91.37;91.38;7555
USDRUBF;60;20240917;190000;91.41;91.42;91.16;91.28;2776
USDRUBF;60;20240917;200000;91.28;91.3;91.25;91.29;164
USDRUBF;60;20240917;210000;91.3;91.34;91.26;91.33;292
USDRUBF;60;20240917;220000;91.33;91.37;91.32;91.36;119
USDRUBF;60;20240917;230000;91.37;91.41;91.3;91.3;596
USDRUBF;60;20240918;100000;91.38;91.67;91.19;91.66;9776
USDRUBF;60;20240918;110000;91.66;91.69;91.42;91.45;5436
USDRUBF;60;20240918;120000;91.46;91.5;91.28;91.45;4763
USDRUBF;60;20240918;130000;91.46;91.54;91.38;91.39;8303
USDRUBF;60;20240918;140000;91.42;91.49;91.37;91.43;3282
USDRUBF;60;20240918;150000;91.44;91.58;91.31;91.48;3022
USDRUBF;60;20240918;160000;91.44;91.71;91.37;91.55;6176
USDRUBF;60;20240918;170000;91.55;91.96;91.49;91.92;11064
USDRUBF;60;20240918;180000;91.92;91.94;91.8;91.91;4907
USDRUBF;60;20240918;190000;91.8;91.85;91.74;91.8;1098
USDRUBF;60;20240918;200000;91.79;91.94;91.76;91.81;1406
USDRUBF;60;20240918;210000;91.87;91.89;91.76;91.81;1015
USDRUBF;60;20240918;220000;91.79;91.93;91.79;91.9;1294
USDRUBF;60;20240918;230000;91.92;91.97;91.88;91.97;2750
USDRUBF;60;20240919;100000;91.87;92.62;91.87;92.33;15628
USDRUBF;60;20240919;110000;92.32;92.5;92.3;92.38;17923
USDRUBF;60;20240919;120000;92.38;92.5;92.34;92.48;14743
USDRUBF;60;20240919;130000;92.46;92.73;92.43;92.66;11532
USDRUBF;60;20240919;140000;92.7;92.9;92.69;92.77;24233
USDRUBF;60;20240919;150000;92.78;92.78;92.66;92.72;7189
USDRUBF;60;20240919;160000;92.72;92.75;92.38;92.63;15247
USDRUBF;60;20240919;170000;92.61;92.68;92.38;92.46;10675
USDRUBF;60;20240919;180000;92.46;92.51;92.32;92.45;6039
USDRUBF;60;20240919;190000;92.54;92.54;92.35;92.35;632
USDRUBF;60;20240919;200000;92.38;92.4;92.31;92.33;896
USDRUBF;60;20240919;210000;92.33;92.4;92.24;92.29;766
USDRUBF;60;20240919;220000;92.28;92.3;92.24;92.3;401
USDRUBF;60;20240919;230000;92.3;92.4;92.25;92.26;444
USDRUBF;60;20240920;100000;92.31;92.86;92.27;92.8;14414
USDRUBF;60;20240920;110000;92.81;92.85;92.61;92.82;6132
USDRUBF;60;20240920;120000;92.82;92.98;92.71;92.84;8872
USDRUBF;60;20240920;130000;92.87;92.94;92.63;92.73;8383
USDRUBF;60;20240920;140000;92.71;92.79;92.6;92.76;20207
USDRUBF;60;20240920;150000;92.75;92.92;92.67;92.67;7668
USDRUBF;60;20240920;160000;92.67;92.69;92.57;92.62;4601
USDRUBF;60;20240920;170000;92.6;92.77;92.59;92.75;8124
USDRUBF;60;20240920;180000;92.77;92.8;92.48;92.55;13758
USDRUBF;60;20240920;190000;92.63;92.81;92.46;92.64;690
USDRUBF;60;20240920;200000;92.64;92.64;92.61;92.63;210
USDRUBF;60;20240920;210000;92.63;92.65;92.6;92.61;204
USDRUBF;60;20240920;220000;92.61;92.64;92.58;92.64;223
USDRUBF;60;20240920;230000;92.64;92.69;92.61;92.62;374
USDRUBF;60;20240923;100000;92.63;93.06;92.63;92.75;10283
USDRUBF;60;20240923;110000;92.76;93.01;92.72;92.83;4428
USDRUBF;60;20240923;120000;92.83;92.98;92.83;92.89;3301
USDRUBF;60;20240923;130000;92.88;92.89;92.69;92.75;5606
USDRUBF;60;20240923;140000;92.8;92.86;92.6;92.72;3640
USDRUBF;60;20240923;150000;92.74;92.84;92.71;92.81;2110
USDRUBF;60;20240923;160000;92.82;92.89;92.75;92.89;4012
USDRUBF;60;20240923;170000;92.86;92.9;92.82;92.87;4389
USDRUBF;60;20240923;180000;92.86;92.94;92.85;92.94;1567
USDRUBF;60;20240923;190000;92.9;92.97;92.9;92.94;385
USDRUBF;60;20240923;200000;92.94;92.96;92.92;92.96;432
USDRUBF;60;20240923;210000;92.92;92.94;92.91;92.93;103
USDRUBF;60;20240923;220000;92.91;92.93;92.9;92.91;81
USDRUBF;60;20240923;230000;92.93;92.95;92.92;92.95;510
USDRUBF;60;20240924;100000;92.94;93.03;92.77;92.87;15147
USDRUBF;60;20240924;110000;92.9;93.2;92.79;93.08;12122
USDRUBF;60;20240924;120000;93.08;93.12;92.88;92.94;3778
USDRUBF;60;20240924;130000;92.94;92.95;92.8;92.81;6449
USDRUBF;60;20240924;140000;92.81;92.85;92.61;92.75;5796
USDRUBF;60;20240924;150000;92.76;92.8;92.34;92.37;8985
USDRUBF;60;20240924;160000;92.37;92.51;92.2;92.28;13092
USDRUBF;60;20240924;170000;92.29;92.36;91.96;92.08;19613
USDRUBF;60;20240924;180000;92.05;92.27;92.05;92.12;4957
USDRUBF;60;20240924;190000;92.14;92.26;91.99;92.22;1452
USDRUBF;60;20240924;200000;92.22;92.25;92.21;92.23;252
USDRUBF;60;20240924;210000;92.23;92.23;92.15;92.16;582
USDRUBF;60;20240924;220000;92.18;92.18;92.13;92.14;231
USDRUBF;60;20240924;230000;92.15;92.16;92.06;92.06;323
USDRUBF;60;20240925;100000;92.07;92.32;91.87;91.95;11902
USDRUBF;60;20240925;110000;91.95;91.96;91.55;91.86;19511
USDRUBF;60;20240925;120000;91.86;92.15;91.73;91.9;6550
USDRUBF;60;20240925;130000;91.9;92.18;91.9;92.18;4646
USDRUBF;60;20240925;140000;92.17;92.19;91.98;92.12;9999
