Datetime;Open;High;Low;Close;Volume
2023-07-11 10:00:00;5500.0;5506.0;5479.0;5504.2;519
2023-07-11 11:00:00;5506.4;5520.5;5497.1;5516.4;329
2023-07-11 12:00:00;5515.5;5515.5;5491.6;5503.4;469
2023-07-11 13:00:00;5497.9;5500.9;5495.5;5497.5;717
2023-07-11 14:00:00;5495.8;5516.4;5495.8;5498.1;138
2023-07-11 15:00:00;5498.1;5498.3;5487.0;5491.3;857
2023-07-11 16:00:00;5491.3;5491.3;5481.6;5489.7;95
2023-07-11 17:00:00;5491.3;5491.4;5480.0;5487.1;169
2023-07-11 18:00:00;5487.0;5500.7;5477.7;5500.0;249
2023-07-11 19:00:00;5555.5;5555.5;5500.0;5504.1;92
2023-07-11 20:00:00;5504.3;5542.7;5504.3;5542.7;80
2023-07-11 21:00:00;5525.1;5535.0;5515.1;5525.3;90
2023-07-11 22:00:00;5525.3;5525.4;5516.1;5516.2;25
2023-07-11 23:00:00;5516.5;5543.4;5515.4;5529.7;118
2023-07-12 09:00:00;5531.2;5549.4;5519.1;5520.8;187
2023-07-12 10:00:00;5520.8;5521.8;5497.4;5502.8;3216
2023-07-12 11:00:00;5501.2;5511.5;5492.6;5504.9;710
2023-07-12 12:00:00;5504.9;5505.0;5496.9;5502.2;454
2023-07-12 13:00:00;5503.3;5508.0;5496.5;5506.7;532
2023-07-12 14:00:00;5504.4;5525.0;5504.4;5519.8;767
2023-07-12 15:00:00;5526.0;5541.9;5522.9;5539.7;1981
2023-07-12 16:00:00;5539.8;5557.4;5522.2;5554.9;438
2023-07-12 17:00:00;5554.9;5572.3;5540.7;5555.4;311
2023-07-12 18:00:00;5560.4;5565.0;5555.5;5559.4;50
2023-07-12 19:00:00;5555.5;5604.0;5555.5;5604.0;137
2023-07-12 20:00:00;5604.7;5604.9;5581.0;5604.9;295
2023-07-12 21:00:00;5600.2;5603.5;5587.0;5600.0;31
2023-07-12 22:00:00;5599.0;5604.2;5592.9;5604.1;62
2023-07-12 23:00:00;5599.9;5600.5;5576.0;5600.5;99
2023-07-13 08:00:00;5600.0;5600.0;5600.0;5600.0;17
2023-07-13 09:00:00;5597.6;5600.0;5575.0;5575.0;311
2023-07-13 10:00:00;5574.0;5574.0;5551.1;5551.1;1566
2023-07-13 11:00:00;5553.1;5553.2;5506.0;5506.0;4765
2023-07-13 12:00:00;5510.1;5535.6;5509.3;5535.6;564
2023-07-13 13:00:00;5530.0;5534.2;5508.2;5520.2;476
2023-07-13 14:00:00;5513.0;5519.6;5506.5;5515.9;390
2023-07-13 15:00:00;5509.1;5519.9;5506.0;5511.8;356
2023-07-13 16:00:00;5511.8;5516.4;5506.3;5506.4;245
2023-07-13 17:00:00;5506.1;5511.0;5494.1;5500.0;1093
2023-07-13 18:00:00;5501.0;5525.2;5494.2;5525.0;1311
2023-07-13 19:00:00;5506.8;5785.0;5506.7;5549.0;1586
2023-07-13 20:00:00;5548.9;5579.5;5540.7;5550.0;191
2023-07-13 21:00:00;5547.2;5550.6;5508.7;5544.0;577
2023-07-13 22:00:00;5543.2;5544.2;5520.2;5544.2;136
2023-07-13 23:00:00;5545.0;5546.2;5544.2;5544.2;667
2023-07-14 09:00:00;5545.0;5545.0;5474.9;5501.5;1489
2023-07-14 10:00:00;5501.6;5513.6;5490.0;5506.2;371
2023-07-14 11:00:00;5511.9;5523.0;5510.0;5523.0;794
2023-07-14 12:00:00;5520.0;5538.5;5516.0;5521.2;722
2023-07-14 13:00:00;5523.9;5532.3;5520.0;5520.0;560
2023-07-14 14:00:00;5532.1;5535.8;5524.5;5535.8;143
2023-07-14 15:00:00;5531.7;5537.0;5531.6;5537.0;138
2023-07-14 16:00:00;5534.4;5538.8;5528.1;5531.2;461
2023-07-14 17:00:00;5536.4;5540.0;5516.0;5528.8;150
2023-07-14 18:00:00;5525.1;5580.0;5525.1;5580.0;650
2023-07-14 19:00:00;5555.0;5574.0;5543.8;5560.0;274
2023-07-14 20:00:00;5560.0;5573.1;5556.6;5570.0;286
2023-07-14 21:00:00;5568.0;5571.4;5567.9;5569.0;100
2023-07-14 22:00:00;5564.5;5566.1;5556.8;5561.5;147
2023-07-14 23:00:00;5562.7;5564.3;5556.8;5558.1;40
2023-07-17 08:00:00;5570.0;5570.0;5570.0;5570.0;1
2023-07-17 09:00:00;5570.0;5570.0;5544.5;5558.1;641
2023-07-17 10:00:00;5565.0;5567.7;5535.5;5545.2;986
2023-07-17 11:00:00;5544.9;5558.0;5544.9;5557.0;195
2023-07-17 12:00:00;5557.0;5558.0;5545.0;5545.0;281
2023-07-17 13:00:00;5545.1;5553.7;5530.0;5543.8;388
2023-07-17 14:00:00;5539.7;5544.0;5529.4;5543.9;147
2023-07-17 15:00:00;5543.4;5544.0;5530.0;5530.0;279
2023-07-17 16:00:00;5529.6;5541.0;5520.0;5535.3;1356
