<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUBF;5;20240502;090000;12.74;12.748;12.74;12.746;2318
CNYRUBF;5;20240502;090500;12.745;12.745;12.742;12.742;1721
CNYRUBF;5;20240502;091000;12.742;12.742;12.74;12.742;1765
CNYRUBF;5;20240502;091500;12.742;12.748;12.742;12.748;2643
CNYRUBF;5;20240502;092000;12.749;12.751;12.742;12.744;854
CNYRUBF;5;20240502;092500;12.743;12.743;12.739;12.743;3188
CNYRUBF;5;20240502;093000;12.744;12.756;12.741;12.756;4374
CNYRUBF;5;20240502;093500;12.756;12.756;12.739;12.752;8031
CNYRUBF;5;20240502;094000;12.751;12.756;12.751;12.755;4766
CNYRUBF;5;20240502;094500;12.755;12.755;12.753;12.753;1811
CNYRUBF;5;20240502;095000;12.752;12.755;12.75;12.754;3156
CNYRUBF;5;20240502;095500;12.754;12.758;12.75;12.754;7350
CNYRUBF;5;20240502;100000;12.753;12.753;12.734;12.734;2689
CNYRUBF;5;20240502;100500;12.734;12.735;12.721;12.724;3644
CNYRUBF;5;20240502;101000;12.726;12.734;12.723;12.723;5625
CNYRUBF;5;20240502;101500;12.722;12.725;12.716;12.717;4964
CNYRUBF;5;20240502;102000;12.716;12.728;12.716;12.728;9157
CNYRUBF;5;20240502;102500;12.727;12.73;12.718;12.718;2040
CNYRUBF;5;20240502;103000;12.718;12.721;12.715;12.715;2300
CNYRUBF;5;20240502;103500;12.715;12.716;12.706;12.708;2365
CNYRUBF;5;20240502;104000;12.708;12.709;12.705;12.709;1241
CNYRUBF;5;20240502;104500;12.711;12.719;12.708;12.711;2698
CNYRUBF;5;20240502;105000;12.71;12.716;12.707;12.714;3891
CNYRUBF;5;20240502;105500;12.713;12.718;12.713;12.714;3671
CNYRUBF;5;20240502;110000;12.714;12.728;12.712;12.72;8656
CNYRUBF;5;20240502;110500;12.719;12.721;12.713;12.714;1727
CNYRUBF;5;20240502;111000;12.714;12.722;12.714;12.718;19603
CNYRUBF;5;20240502;111500;12.719;12.719;12.711;12.714;22308
CNYRUBF;5;20240502;112000;12.713;12.713;12.706;12.706;7486
CNYRUBF;5;20240502;112500;12.705;12.709;12.698;12.699;7338
CNYRUBF;5;20240502;113000;12.698;12.702;12.692;12.7;4943
CNYRUBF;5;20240502;113500;12.699;12.699;12.691;12.692;577
CNYRUBF;5;20240502;114000;12.691;12.692;12.687;12.687;1504
CNYRUBF;5;20240502;114500;12.687;12.687;12.668;12.67;14333
CNYRUBF;5;20240502;115000;12.67;12.672;12.66;12.663;14264
CNYRUBF;5;20240502;115500;12.663;12.667;12.661;12.663;14446
CNYRUBF;5;20240502;120000;12.661;12.662;12.647;12.649;12919
CNYRUBF;5;20240502;120500;12.65;12.655;12.641;12.651;7377
CNYRUBF;5;20240502;121000;12.65;12.651;12.645;12.651;6503
CNYRUBF;5;20240502;121500;12.651;12.662;12.65;12.661;5336
CNYRUBF;5;20240502;122000;12.661;12.663;12.647;12.657;11711
CNYRUBF;5;20240502;122500;12.658;12.667;12.658;12.667;7310
CNYRUBF;5;20240502;123000;12.666;12.669;12.662;12.662;4105
CNYRUBF;5;20240502;123500;12.662;12.666;12.661;12.665;3119
CNYRUBF;5;20240502;124000;12.665;12.667;12.663;12.664;683
CNYRUBF;5;20240502;124500;12.663;12.666;12.663;12.666;317
CNYRUBF;5;20240502;125000;12.666;12.667;12.66;12.663;1878
CNYRUBF;5;20240502;125500;12.662;12.662;12.657;12.659;15223
CNYRUBF;5;20240502;130000;12.659;12.66;12.648;12.652;1996
CNYRUBF;5;20240502;130500;12.653;12.662;12.653;12.661;1085
CNYRUBF;5;20240502;131000;12.661;12.667;12.658;12.662;2277
CNYRUBF;5;20240502;131500;12.664;12.665;12.66;12.664;4843
CNYRUBF;5;20240502;132000;12.664;12.666;12.661;12.661;5019
CNYRUBF;5;20240502;132500;12.663;12.669;12.66;12.668;14840
CNYRUBF;5;20240502;133000;12.668;12.668;12.665;12.668;1124
CNYRUBF;5;20240502;133500;12.668;12.668;12.665;12.665;185
CNYRUBF;5;20240502;134000;12.665;12.667;12.664;12.666;850
CNYRUBF;5;20240502;134500;12.665;12.665;12.663;12.663;40
CNYRUBF;5;20240502;135000;12.663;12.663;12.657;12.659;1838
CNYRUBF;5;20240502;135500;12.658;12.659;12.658;12.659;1666
CNYRUBF;5;20240502;140500;12.659;12.659;12.65;12.652;1721
CNYRUBF;5;20240502;141000;12.651;12.653;12.651;12.653;1634
CNYRUBF;5;20240502;141500;12.653;12.654;12.649;12.649;4405
CNYRUBF;5;20240502;142000;12.649;12.65;12.64;12.645;9706
CNYRUBF;5;20240502;142500;12.643;12.644;12.634;12.635;8203
CNYRUBF;5;20240502;143000;12.637;12.647;12.637;12.647;1174
CNYRUBF;5;20240502;143500;12.647;12.654;12.646;12.652;1780
CNYRUBF;5;20240502;144000;12.652;12.66;12.651;12.653;2173
CNYRUBF;5;20240502;144500;12.654;12.662;12.654;12.655;876
CNYRUBF;5;20240502;145000;12.655;12.658;12.648;12.657;395
CNYRUBF;5;20240502;145500;12.658;12.659;12.652;12.659;382
CNYRUBF;5;20240502;150000;12.659;12.674;12.659;12.67;11771
CNYRUBF;5;20240502;150500;12.669;12.674;12.664;12.668;4009
