<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUBF;30;20250502;090000;11.239;11.266;11.227;11.25;41824
CNYRUBF;30;20250502;093000;11.251;11.26;11.224;11.255;36883
CNYRUBF;30;20250502;100000;11.256;11.388;11.256;11.368;388655
CNYRUBF;30;20250502;103000;11.369;11.429;11.369;11.416;261137
CNYRUBF;30;20250502;110000;11.419;11.46;11.412;11.412;171501
CNYRUBF;30;20250502;113000;11.412;11.423;11.38;11.394;132554
CNYRUBF;30;20250502;120000;11.392;11.424;11.392;11.418;40784
CNYRUBF;30;20250502;123000;11.418;11.445;11.406;11.438;38924
CNYRUBF;30;20250502;130000;11.439;11.45;11.422;11.427;44228
CNYRUBF;30;20250502;133000;11.428;11.439;11.415;11.432;50674
CNYRUBF;30;20250502;140000;11.431;11.436;11.397;11.43;59367
CNYRUBF;30;20250502;143000;11.432;11.466;11.431;11.463;46588
CNYRUBF;30;20250502;150000;11.464;11.48;11.456;11.458;69193
CNYRUBF;30;20250502;153000;11.456;11.468;11.447;11.453;30610
CNYRUBF;30;20250502;160000;11.454;11.455;11.436;11.442;39125
CNYRUBF;30;20250502;163000;11.441;11.453;11.426;11.429;33261
CNYRUBF;30;20250502;170000;11.428;11.439;11.406;11.421;40565
CNYRUBF;30;20250502;173000;11.42;11.422;11.382;11.417;51818
CNYRUBF;30;20250502;180000;11.417;11.435;11.404;11.425;28247
CNYRUBF;30;20250502;183000;11.421;11.423;11.392;11.404;60688
CNYRUBF;30;20250502;190000;11.414;11.44;11.413;11.431;13858
CNYRUBF;30;20250502;193000;11.432;11.435;11.424;11.429;9769
CNYRUBF;30;20250502;200000;11.429;11.429;11.413;11.426;4448
CNYRUBF;30;20250502;203000;11.423;11.434;11.422;11.428;7026
CNYRUBF;30;20250502;210000;11.428;11.431;11.42;11.425;4613
CNYRUBF;30;20250502;213000;11.425;11.432;11.416;11.43;4755
CNYRUBF;30;20250502;220000;11.426;11.438;11.425;11.437;3834
CNYRUBF;30;20250502;223000;11.437;11.445;11.431;11.432;10656
CNYRUBF;30;20250502;230000;11.433;11.445;11.432;11.44;8387
CNYRUBF;30;20250502;233000;11.44;11.451;11.438;11.444;13557
CNYRUBF;30;20250505;090000;11.453;11.505;11.453;11.49;121845
CNYRUBF;30;20250505;093000;11.491;11.498;11.469;11.492;53011
CNYRUBF;30;20250505;100000;11.494;11.498;11.34;11.352;322710
CNYRUBF;30;20250505;103000;11.354;11.388;11.35;11.373;125012
CNYRUBF;30;20250505;110000;11.372;11.375;11.329;11.347;160408
